header,taxon,protein,sp,description,vog,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,filt,viral.family
55510.YP_238615.1 ORF058 [Staphylococcus virus Twort],55510,YP_238615.1,Staphylococcus virus Twort, ORF058,VOG00048,Staphylococcus virus Twort,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Twortvirus,NC_007021,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,55510.YP_238615.1,Herelleviridae
57477.YP_006907409.1 hypothetical protein [Bacillus phage Bastille],57477,YP_006907409.1,Bacillus phage Bastille, hypothetical protein,VOG00048,Bacillus phage Bastille,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bastillevirus; Bacillus virus Bastille,NC_018856,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,57477.YP_006907409.1,Herelleviridae
584892.YP_009031424.1 putative RNA polymerase sigma factor [Bacillus phage Bcp1],584892,YP_009031424.1,Bacillus phage Bcp1, putative RNA polymerase sigma factor,VOG00048,Bacillus phage Bcp1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Caeruleovirus; Bacillus virus Bcp1,NC_024137,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,584892.YP_009031424.1,Herelleviridae
632112.YP_002790835.1 putative sigma factor [Lactobacillus virus Lb338-1],632112,YP_002790835.1,Lactobacillus virus Lb338-1, putative sigma factor,VOG00048,Lactobacillus virus Lb338-1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae,NC_012530,NA,NA,NA,1597,Lactobacillus paracasei,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae; Lactobacillus; Lactobacillus casei group,NA,NA,NA,NA,1,632112.YP_002790835.1,Herelleviridae
760530.YP_007002270.1 putative sigma factor [Staphylococcus phage G15],760530,YP_007002270.1,Staphylococcus phage G15, putative sigma factor,VOG00048,Staphylococcus phage G15,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; Staphylococcus virus G15,NC_019448,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,RefSeq,NA,NA,1,760530.YP_007002270.1,Herelleviridae
764595.YP_004957120.1 gp105 [Bacillus phage W.Ph],764595,YP_004957120.1,Bacillus phage W.Ph, gp105,VOG00048,Bacillus phage W.Ph.,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Wphvirus; Bacillus virus WPh,NC_016563,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,764595.YP_004957120.1,Herelleviridae
857312.YP_004301485.1 gp152 [Brochothrix phage A9],857312,YP_004301485.1,Brochothrix phage A9, gp152,VOG00048,Brochothrix phage A9,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Brochothrix virus A9,NC_015253,NA,NA,NA,2756,Brochothrix thermosphacta,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Brochothrix,NA,RefSeq,NA,NA,1,857312.YP_004301485.1,Herelleviridae
941058.YP_007003457.1 sigma factor [Bacillus phage SP-10],941058,YP_007003457.1,Bacillus phage SP-10, sigma factor,VOG00048,Bacillus phage SP-10,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; unclassified Spounavirinae,NC_019487,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,21597187,Literature,NA,NA,1,941058.YP_007003457.1,Herelleviridae
1273739.YP_007517509.1 RNA polymerase sigma-70 factor [Bacillus virus Andromeda],1273739,YP_007517509.1,Bacillus virus Andromeda, RNA polymerase sigma-70 factor,VOG00048,Bacillus virus Andromeda,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Andromedavirus,NC_020478,NA,NA,NA,1189615,Bacillus pumilus BL8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus pumilus,NA,"NCBI Virus, RefSeq",NA,NA,1,1273739.YP_007517509.1,Siphoviridae
1273740.YP_007517589.1 RNA polymerase sigma-70 factor [Bacillus virus Curly],1273740,YP_007517589.1,Bacillus virus Curly, RNA polymerase sigma-70 factor,VOG00048,Bacillus virus Curly,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Andromedavirus,NC_020479,NA,NA,NA,1189615,Bacillus pumilus BL8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus pumilus,NA,"NCBI Virus, RefSeq",NA,NA,1,1273740.YP_007517589.1,Siphoviridae
1273741.YP_007517433.1 RNA polymerase sigma-70 factor [Bacillus virus Eoghan],1273741,YP_007517433.1,Bacillus virus Eoghan, RNA polymerase sigma-70 factor,VOG00048,Bacillus virus Eoghan,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Andromedavirus,NC_020477,NA,NA,NA,1189615,Bacillus pumilus BL8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus pumilus,NA,"NCBI Virus, RefSeq",NA,NA,1,1273741.YP_007517433.1,Siphoviridae
1273742.YP_007517663.1 RNA polymerase sigma-70 factor [Bacillus virus Finn],1273742,YP_007517663.1,Bacillus virus Finn, RNA polymerase sigma-70 factor,VOG00048,Bacillus virus Finn,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Andromedavirus,NC_020480,NA,NA,NA,1189615,Bacillus pumilus BL8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus pumilus,NA,"NCBI Virus, RefSeq",NA,NA,1,1273742.YP_007517663.1,Siphoviridae
1273744.YP_009592276.1 RNA polymerase sigma-70 factor [Bacillus virus Taylor],1273744,YP_009592276.1,Bacillus virus Taylor, RNA polymerase sigma-70 factor,VOG00048,Bacillus virus Taylor,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Andromedavirus,NC_041858,NA,NA,NA,1189615,Bacillus pumilus BL8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus pumilus,NA,"NCBI Virus, RefSeq",NA,NA,1,1273744.YP_009592276.1,Siphoviridae
1305708.YP_008058960.1 sigma-70 family RNA polymerase sigma factor [Clostridium phage vB_CpeS-CP51],1305708,YP_008058960.1,Clostridium phage vB_CpeS-CP51, sigma-70 family RNA polymerase sigma factor,VOG00048,Clostridium phage vB_CpeS-CP51,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_021325,NA,NA,NA,1502,Clostridium perfringens,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae; Clostridium,NA,"NCBI Virus, RefSeq",NA,NA,1,1305708.YP_008058960.1,Siphoviridae
1406782.YP_008771870.1 RNA polymerase sigma-70 factor [Bacillus virus Blastoid],1406782,YP_008771870.1,Bacillus virus Blastoid, RNA polymerase sigma-70 factor,VOG00048,Bacillus virus Blastoid,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Andromedavirus,NC_022773,NA,NA,NA,1408,Bacillus pumilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,"NCBI Virus, RefSeq",NA,NA,1,1406782.YP_008771870.1,Siphoviridae
1406784.YP_008770680.1 RNA polymerase sigma factor [Bacillus virus Glittering],1406784,YP_008770680.1,Bacillus virus Glittering, RNA polymerase sigma factor,VOG00048,Bacillus virus Glittering,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Andromedavirus,NC_022766,NA,NA,NA,1408,Bacillus pumilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,"NCBI Virus, RefSeq",NA,NA,1,1406784.YP_008770680.1,Siphoviridae
1406788.YP_008770602.1 RNA polymerase sigma-70 factor [Bacillus virus Riggi],1406788,YP_008770602.1,Bacillus virus Riggi, RNA polymerase sigma-70 factor,VOG00048,Bacillus virus Riggi,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Andromedavirus,NC_022765,NA,NA,NA,1408,Bacillus pumilus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,"NCBI Virus, RefSeq",NA,NA,1,1406788.YP_008770602.1,Siphoviridae
1054968.YP_004782422.1 RNA polymerase ECF sigma factor [Salmonella phage 7-11],1054968,YP_004782422.1,Salmonella phage 7-11, RNA polymerase ECF sigma factor,VOG00048,Salmonella phage 7-11,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_015938,NA,NA,NA,108619,Salmonella enterica subsp. enterica serovar Newport,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,"NCBI Virus, RefSeq",NA,NA,1,1054968.YP_004782422.1,Podoviridae
1141137.YP_006987691.1 RNA polymerase ECF sigma factor [Cronobacter phage vB_CsaP_GAP52],1141137,YP_006987691.1,Cronobacter phage vB_CsaP_GAP52, RNA polymerase ECF sigma factor,VOG00048,Cronobacter phage vB_CsaP_GAP52,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_019402,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,1141137.YP_006987691.1,Podoviridae
2588517.YP_009847066.1 RNA polymerase ECF sigma factor [Aeromonas phage 4_4572],2588517,YP_009847066.1,Aeromonas phage 4_4572, RNA polymerase ECF sigma factor,VOG00048,Aeromonas phage 4_4572,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_048773,NA,NA,NA,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,2588517.YP_009847066.1,Podoviridae
2591030.YP_009847219.1 putative RNA polymerase ECF sigma factor [Aeromonas phage LAh_6],2591030,YP_009847219.1,Aeromonas phage LAh_6, putative RNA polymerase ECF sigma factor,VOG00048,Aeromonas phage LAh_6,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_048774,NA,NA,NA,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,2591030.YP_009847219.1,Podoviridae
2591032.YP_009847442.1 putative RNA polymerase ECF sigma factor [Aeromonas phage LAh_8],2591032,YP_009847442.1,Aeromonas phage LAh_8, putative RNA polymerase ECF sigma factor,VOG00048,Aeromonas phage LAh_8,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_048775,NA,NA,NA,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,2591032.YP_009847442.1,Podoviridae
2591033.YP_009847599.1 putative RNA polymerase ECF sigma factor [Aeromonas phage LAh9],2591033,YP_009847599.1,Aeromonas phage LAh9, putative RNA polymerase ECF sigma factor,VOG00048,Aeromonas phage LAh9,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_048776,NA,NA,NA,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,2591033.YP_009847599.1,Podoviridae
2699738.YP_009833492.1 RNA polymerase ECF sigma factor [Cronobacter phage vB_CsaP_009],2699738,YP_009833492.1,Cronobacter phage vB_CsaP_009, RNA polymerase ECF sigma factor,VOG00048,Cronobacter phage vB_CsaP_009,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_048664,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,2699738.YP_009833492.1,Podoviridae
2712958.YP_009857475.1 RNA polymerase sigma factor [Proteus phage Privateer],2712958,YP_009857475.1,Proteus phage Privateer, RNA polymerase sigma factor,VOG00048,Proteus phage Privateer,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae,NC_048861,NA,NA,NA,584,Proteus mirabilis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae; Proteus,NA,"NCBI Virus, RefSeq",NA,NA,1,2712958.YP_009857475.1,Podoviridae
1237159.YP_006906108.1 RNA polymerase ECF sigma factor [Escherichia phage NJ01],1237159,YP_006906108.1,Escherichia phage NJ01, RNA polymerase ECF sigma factor,VOG00048,Escherichia phage NJ01,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Kuravirus; Escherichia virus NJ01,NC_018835,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1237159.YP_006906108.1,Podoviridae
1436889.YP_009008726.1 hypothetical protein [Escherichia phage KBNP1711],1436889,YP_009008726.1,Escherichia phage KBNP1711, hypothetical protein,VOG00048,Escherichia phage KBNP1711,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Kuravirus; Escherichia virus Septima11,NC_023593,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1436889.YP_009008726.1,Podoviridae
1519788.YP_009152883.1 RNA polymerase ECF sigma factor [Escherichia phage vB_EcoP_SU10],1519788,YP_009152883.1,Escherichia phage vB_EcoP_SU10, RNA polymerase ECF sigma factor,VOG00048,Escherichia phage vB_EcoP_SU10,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Kuravirus; Escherichia virus SU10,NC_027395,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1519788.YP_009152883.1,Podoviridae
1598146.YP_009208199.1 hypothetical protein [Escherichia phage 172-1],1598146,YP_009208199.1,Escherichia phage 172-1, hypothetical protein,VOG00048,Escherichia phage 172-1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Kuravirus; Escherichia virus 172-1,NC_028903,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1598146.YP_009208199.1,Podoviridae
1604355.YP_006908882.1 hypothetical protein [Escherichia phage ECBP2],1604355,YP_006908882.1,Escherichia phage ECBP2, hypothetical protein,VOG00048,Escherichia phage ECBP2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Kuravirus; Escherichia virus ECB2,NC_018859,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1604355.YP_006908882.1,Podoviridae
490103.YP_001671781.1 RNA polymerase ECF sigma factor [Escherichia virus phiEco32],490103,YP_001671781.1,Escherichia virus phiEco32, RNA polymerase ECF sigma factor,VOG00048,Escherichia virus phiEco32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Kuravirus,NC_010324,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,490103.YP_001671781.1,Podoviridae
148943.NP_835731.1 similar to RNA polymerase ECF-type sigma factor [Rhodothermus phage RM378],148943,NP_835731.1,Rhodothermus phage RM378, similar to RNA polymerase ECF-type sigma factor,VOG00048,Rhodothermus phage RM378,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_004735,NA,NA,NA,29549,Rhodothermus marinus,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae; Rhodothermus,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,148943.NP_835731.1,Myoviridae
1527770.YP_009099832.1 RNA polymerase sigma-70 factor [Rhizobium phage vB_RleM_P10VF],1527770,YP_009099832.1,Rhizobium phage vB_RleM_P10VF, RNA polymerase sigma-70 factor,VOG00048,Rhizobium phage vB_RleM_P10VF,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; unclassified Ackermannviridae,NC_025429,NA,NA,NA,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae; Rhizobium,NA,"NCBI Virus, RefSeq",NA,NA,1,1527770.YP_009099832.1,Ackermannviridae
1636182.YP_009189470.1 DNA-directed RNA polymerase specialized sigma subunit [Sinorhizobium phage phiM9],1636182,YP_009189470.1,Sinorhizobium phage phiM9, DNA-directed RNA polymerase specialized sigma subunit,VOG00048,Sinorhizobium phage phiM9,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; unclassified Ackermannviridae,NC_028676,NA,NA,NA,382,Sinorhizobium meliloti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae; Sinorhizobium,NA,"NCBI Virus, RefSeq",NA,NA,1,1636182.YP_009189470.1,Ackermannviridae
2510464.YP_009882647.1 RNA polymerase sigma factor [Klebsiella phage ST13-OXA48phi12.1],2510464,YP_009882647.1,Klebsiella phage ST13-OXA48phi12.1, RNA polymerase sigma factor,VOG00048,Klebsiella phage ST13-OXA48phi12.1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Peduovirinae; Peduovirus; unclassified Peduovirus,NC_049453,NA,NA,NA,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,"NCBI Virus, RefSeq",NA,NA,1,2510464.YP_009882647.1,Myoviridae
2510480.YP_009882596.1 RNA polymerase sigma factor [Klebsiella phage ST147-VIM1phi7.1],2510480,YP_009882596.1,Klebsiella phage ST147-VIM1phi7.1, RNA polymerase sigma factor,VOG00048,Klebsiella phage ST147-VIM1phi7.1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Peduovirinae; Peduovirus; unclassified Peduovirus,NC_049451,NA,NA,NA,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,"NCBI Virus, RefSeq",NA,NA,1,2510480.YP_009882596.1,Myoviridae
1183239.YP_006383695.1 hypothetical protein [Salisaeta icosahedral phage 1 (SSIP-1)],1183239,YP_006383695.1,Salisaeta icosahedral phage 1 (SSIP-1), hypothetical protein,VOG00048,Salisaeta icosahedral phage 1,Viruses; unclassified viruses; unclassified DNA viruses; unclassified dsDNA phages,NC_017983,NA,NA,NA,1089709,Salisaeta sp. SP9-1,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae; Salisaeta,NA,"NCBI Virus, RefSeq",NA,NA,1,1183239.YP_006383695.1,unclassified (SSIP-1)
10685.YP_002300332.1 gp2.21 [Bacillus virus SPO1],10685,YP_002300332.1,Bacillus virus SPO1, gp2.21,VOG00048,Bacillus virus SPO1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Okubovirus,NC_011421,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,10685.YP_002300332.1,Herelleviridae
1126950.YP_006907943.1 putative RNA polymerase sigma 28 subunit SigF [Bacillus phage BCP78],1126950,YP_006907943.1,Bacillus phage BCP78, putative RNA polymerase sigma 28 subunit SigF,VOG00048,Bacillus phage BCP78,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Tsarbombavirus; Bacillus virus BCP78,NC_018860,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1126950.YP_006907943.1,Herelleviridae
1126950.YP_006907944.1 putative RNA polymerase sigma 28 subunit SigG [Bacillus phage BCP78],1126950,YP_006907944.1,Bacillus phage BCP78, putative RNA polymerase sigma 28 subunit SigG,VOG00048,Bacillus phage BCP78,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Tsarbombavirus; Bacillus virus BCP78,NC_018860,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1126950.YP_006907944.1,Herelleviridae
"1129192.YP_009149686.1 putative RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [Bacillus phage BCP8-2]",1129192,YP_009149686.1,Bacillus phage BCP8-2," putative RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",VOG00048,Bacillus phage BCP8-2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Caeruleovirus; Bacillus virus BCP82,NC_027355,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1129192.YP_009149686.1,Herelleviridae
1129192.YP_009149687.1 putative RNA polymerase sigma factor G [Bacillus phage BCP8-2],1129192,YP_009149687.1,Bacillus phage BCP8-2, putative RNA polymerase sigma factor G,VOG00048,Bacillus phage BCP8-2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Caeruleovirus; Bacillus virus BCP82,NC_027355,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1129192.YP_009149687.1,Herelleviridae
1136731.YP_006907696.1 putative RNA polymerase sigma factor [Bacillus phage BPS13],1136731,YP_006907696.1,Bacillus phage BPS13, putative RNA polymerase sigma factor,VOG00048,Bacillus phage BPS13,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Wphvirus; Bacillus virus BPS13,NC_018857,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1136731.YP_006907696.1,Herelleviridae
1137745.YP_007006117.1 sigma factor SigF [Cyanophage S-TIM5],1137745,YP_007006117.1,Cyanophage S-TIM5, sigma factor SigF,VOG00048,Cyanophage S-TIM5,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Aurunvirus; Synechococcus virus STIM5,NC_019516,NA,NA,NA,84588,Synechococcus sp. WH 8102,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,1137745.YP_007006117.1,Myoviridae
1141133.YP_006908372.1 sporulation sigma factor SigF-like protein [Bacillus phage B4],1141133,YP_006908372.1,Bacillus phage B4, sporulation sigma factor SigF-like protein,VOG00048,Bacillus phage B4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bequatrovirus; Bacillus virus B4,NC_018863,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1141133.YP_006908372.1,Herelleviridae
1141136.YP_006987604.1 subfamily RNA polymerase sigma-70 subunit [Cronobacter phage vB_CsaM_GAP32],1141136,YP_006987604.1,Cronobacter phage vB_CsaM_GAP32, subfamily RNA polymerase sigma-70 subunit,VOG00048,Cronobacter phage vB_CsaM_GAP32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Mimasvirus; Cronobacter virus GAP32,NC_019401,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,RefSeq,NA,NA,1,1141136.YP_006987604.1,Myoviridae
1147094.YP_007007399.1 putative RNA polymerase sigma factor [Klebsiella phage vB_KleM_RaK2],1147094,YP_007007399.1,Klebsiella phage vB_KleM_RaK2, putative RNA polymerase sigma factor,VOG00048,Klebsiella phage vB_KleM_RaK2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Alcyoneusvirus; Klebsiella virus RaK2,NC_019526,NA,NA,NA,576,Klebsiella sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,RefSeq,NA,NA,1,1147094.YP_007007399.1,Myoviridae
