header,protein,sp,description,group,new.header
WP_008762480.1 sigma-70 family RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_008762480.1,Bacteroides thetaiotaomicron, sigma-70 family RNA polymerase sigma factor,bacteria,WP_008762480.1_bacteria
WP_011109055.1 RNA polymerase sigma-70 factor [Bacteroides thetaiotaomicron],WP_011109055.1,Bacteroides thetaiotaomicron, RNA polymerase sigma-70 factor,bacteria,WP_011109055.1_bacteria
WP_016269926.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_016269926.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_016269926.1_bacteria
WP_008764987.1 RNA polymerase sigma-70 factor [Bacteroides thetaiotaomicron],WP_008764987.1,Bacteroides thetaiotaomicron, RNA polymerase sigma-70 factor,bacteria,WP_008764987.1_bacteria
WP_008765839.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_008765839.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008765839.1_bacteria
WP_008766891.1 sigma-70 family RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_008766891.1,Bacteroides thetaiotaomicron, sigma-70 family RNA polymerase sigma factor,bacteria,WP_008766891.1_bacteria
WP_008763624.1 sigma-70 family RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_008763624.1,Bacteroides thetaiotaomicron, sigma-70 family RNA polymerase sigma factor,bacteria,WP_008763624.1_bacteria
WP_008767954.1 sigma-70 family RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_008767954.1,Bacteroides thetaiotaomicron, sigma-70 family RNA polymerase sigma factor,bacteria,WP_008767954.1_bacteria
WP_008764449.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_008764449.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008764449.1_bacteria
WP_008766886.1 RNA polymerase sigma-70 factor [Bacteroides thetaiotaomicron],WP_008766886.1,Bacteroides thetaiotaomicron, RNA polymerase sigma-70 factor,bacteria,WP_008766886.1_bacteria
WP_008760619.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacteroides],WP_008760619.1,Bacteroides, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_008760619.1_bacteria
WP_008760954.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_008760954.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008760954.1_bacteria
WP_005682267.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_005682267.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_005682267.1_bacteria
WP_011108735.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_011108735.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_011108735.1_bacteria
WP_062695099.1 RNA polymerase sigma-70 factor [Bacteroides thetaiotaomicron],WP_062695099.1,Bacteroides thetaiotaomicron, RNA polymerase sigma-70 factor,bacteria,WP_062695099.1_bacteria
WP_016268625.1 MULTISPECIES: RNA polymerase sigma factor [Bacteroides],WP_016268625.1,Bacteroides, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_016268625.1_bacteria
WP_008761748.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteria],WP_008761748.1,Bacteria, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008761748.1_bacteria
WP_008762155.1 MULTISPECIES: RNA polymerase sigma factor [Bacteroides],WP_008762155.1,Bacteroides, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_008762155.1_bacteria
WP_008763658.1 MULTISPECIES: RNA polymerase sigma factor [Bacteroides],WP_008763658.1,Bacteroides, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_008763658.1_bacteria
WP_008763441.1 MULTISPECIES: RNA polymerase sigma factor [Bacteroides],WP_008763441.1,Bacteroides, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_008763441.1_bacteria
WP_011108357.1 RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_011108357.1,Bacteroides thetaiotaomicron, RNA polymerase sigma factor,bacteria,WP_011108357.1_bacteria
WP_062695819.1 RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_062695819.1,Bacteroides thetaiotaomicron, RNA polymerase sigma factor,bacteria,WP_062695819.1_bacteria
WP_008760422.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacteroides],WP_008760422.1,Bacteroides, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_008760422.1_bacteria
WP_008766202.1 sigma-70 family RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_008766202.1,Bacteroides thetaiotaomicron, sigma-70 family RNA polymerase sigma factor,bacteria,WP_008766202.1_bacteria
WP_011108700.1 sigma-70 family RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_011108700.1,Bacteroides thetaiotaomicron, sigma-70 family RNA polymerase sigma factor,bacteria,WP_011108700.1_bacteria
WP_008766766.1 RNA polymerase sigma-70 factor [Bacteroides thetaiotaomicron],WP_008766766.1,Bacteroides thetaiotaomicron, RNA polymerase sigma-70 factor,bacteria,WP_008766766.1_bacteria
WP_008767907.1 RNA polymerase sigma-70 factor [Bacteroides thetaiotaomicron],WP_008767907.1,Bacteroides thetaiotaomicron, RNA polymerase sigma-70 factor,bacteria,WP_008767907.1_bacteria
WP_004308114.1 MULTISPECIES: RNA polymerase sigma factor [Bacteroidales],WP_004308114.1,Bacteroidales, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_004308114.1_bacteria
WP_011108581.1 RNA polymerase sigma-70 factor [Bacteroides thetaiotaomicron],WP_011108581.1,Bacteroides thetaiotaomicron, RNA polymerase sigma-70 factor,bacteria,WP_011108581.1_bacteria
WP_008760019.1 MULTISPECIES: RNA polymerase sigma factor [Bacteroides],WP_008760019.1,Bacteroides, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_008760019.1_bacteria
WP_008767733.1 RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_008767733.1,Bacteroides thetaiotaomicron, RNA polymerase sigma factor,bacteria,WP_008767733.1_bacteria
WP_008766239.1 MULTISPECIES: RNA polymerase sigma-70 factor [Bacteroides],WP_008766239.1,Bacteroides, MULTISPECIES: RNA polymerase sigma-70 factor,bacteria,WP_008766239.1_bacteria
WP_008761066.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacteria],WP_008761066.1,Bacteria, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_008761066.1_bacteria
WP_008760363.1 MULTISPECIES: RNA polymerase sigma factor [Bacteroides],WP_008760363.1,Bacteroides, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_008760363.1_bacteria
WP_008764719.1 RNA polymerase sigma factor [Bacteroides thetaiotaomicron],WP_008764719.1,Bacteroides thetaiotaomicron, RNA polymerase sigma factor,bacteria,WP_008764719.1_bacteria
WP_003225758.1 MULTISPECIES: RNA polymerase sporulation sigma factor SigH [Bacillaceae],WP_003225758.1,Bacillaceae, MULTISPECIES: RNA polymerase sporulation sigma factor SigH,bacteria,WP_003225758.1_bacteria
WP_004398507.1 MULTISPECIES: RNA polymerase sigma factor SigZ [Bacillus],WP_004398507.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor SigZ,bacteria,WP_004398507.1_bacteria
WP_004398891.1 MULTISPECIES: RNA polymerase sigma factor SigV [Bacillus],WP_004398891.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor SigV,bacteria,WP_004398891.1_bacteria
WP_003230521.1 MULTISPECIES: RNA polymerase sigma factor SigX [Bacteria],WP_003230521.1,Bacteria, MULTISPECIES: RNA polymerase sigma factor SigX,bacteria,WP_003230521.1_bacteria
WP_003224177.1 MULTISPECIES: RNA polymerase sigma factor SigM [Bacillaceae],WP_003224177.1,Bacillaceae, MULTISPECIES: RNA polymerase sigma factor SigM,bacteria,WP_003224177.1_bacteria
WP_003243678.1 MULTISPECIES: RNA polymerase sigma factor SigY [Bacilli],WP_003243678.1,Bacilli, MULTISPECIES: RNA polymerase sigma factor SigY,bacteria,WP_003243678.1_bacteria
WP_003245485.1 MULTISPECIES: RNA polymerase sigma factor YlaC [Bacillus],WP_003245485.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor YlaC,bacteria,WP_003245485.1_bacteria
WP_003234958.1 MULTISPECIES: RNA polymerase sigma factor SigW [Bacillus],WP_003234958.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor SigW,bacteria,WP_003234958.1_bacteria
WP_002164611.1 MULTISPECIES: RNA polymerase sigma factor SigB [Bacillus],WP_002164611.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor SigB,bacteria,WP_002164611.1_bacteria
WP_000387193.1 MULTISPECIES: RNA polymerase sporulation sigma factor SigH [Bacillus],WP_000387193.1,Bacillus, MULTISPECIES: RNA polymerase sporulation sigma factor SigH,bacteria,WP_000387193.1_bacteria
WP_000337509.1 MULTISPECIES: RNA polymerase subunit sigma-70 [Bacillus],WP_000337509.1,Bacillus, MULTISPECIES: RNA polymerase subunit sigma-70,bacteria,WP_000337509.1_bacteria
WP_000840007.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacillus],WP_000840007.1,Bacillus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_000840007.1_bacteria
WP_000447162.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacillus],WP_000447162.1,Bacillus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_000447162.1_bacteria
WP_071740389.1 MULTISPECIES: RNA polymerase sigma factor [Bacillus],WP_071740389.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_071740389.1_bacteria
WP_000675556.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacillus],WP_000675556.1,Bacillus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_000675556.1_bacteria
WP_000869257.1 MULTISPECIES: RNA polymerase sigma factor [Bacillus],WP_000869257.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_000869257.1_bacteria
WP_000391642.1 MULTISPECIES: RNA polymerase sigma factor [Bacillus],WP_000391642.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_000391642.1_bacteria
WP_000864729.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacillus],WP_000864729.1,Bacillus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_000864729.1_bacteria
WP_000438330.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacillus],WP_000438330.1,Bacillus, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_000438330.1_bacteria
WP_000824008.1 MULTISPECIES: RNA polymerase sigma factor [Bacillus],WP_000824008.1,Bacillus, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_000824008.1_bacteria
WP_038497316.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_038497316.1,Rhizobium/Agrobacterium group, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_038497316.1_bacteria
WP_003513086.1 MULTISPECIES: RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_003513086.1,Rhizobium/Agrobacterium group, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_003513086.1_bacteria
WP_003518695.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_003518695.1,Rhizobium/Agrobacterium group, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_003518695.1_bacteria
WP_003511036.1 MULTISPECIES: RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_003511036.1,Rhizobium/Agrobacterium group, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_003511036.1_bacteria
WP_003513560.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_003513560.1,Rhizobium/Agrobacterium group, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_003513560.1_bacteria
WP_038490951.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_038490951.1,Rhizobium/Agrobacterium group, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_038490951.1_bacteria
WP_038497025.1 MULTISPECIES: RNA polymerase sigma factor [Agrobacterium tumefaciens complex],WP_038497025.1,Agrobacterium tumefaciens complex, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_038497025.1_bacteria
WP_004432061.1 MULTISPECIES: RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_004432061.1,Rhizobium/Agrobacterium group, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_004432061.1_bacteria
WP_004431393.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_004431393.1,Rhizobium/Agrobacterium group, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_004431393.1_bacteria
WP_025594844.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_025594844.1,Rhizobium/Agrobacterium group, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_025594844.1_bacteria
WP_080863981.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_080863981.1,Rhizobium/Agrobacterium group, MULTISPECIES: sigma-70 family RNA polymerase sigma factor,bacteria,WP_080863981.1_bacteria
WP_038493726.1 MULTISPECIES: RNA polymerase sigma factor [Rhizobium/Agrobacterium group],WP_038493726.1,Rhizobium/Agrobacterium group, MULTISPECIES: RNA polymerase sigma factor,bacteria,WP_038493726.1_bacteria
